ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Consumer
2025-07-05,4184.397559960278,3347.3098196507112,5014.368438835161,4184.397559960278,4184.397559960278,0.8090476279392523,0.8090476279392523,0.8090476279392523,-144.16676787426223,-144.16676787426223,-144.16676787426223,144.9758155022015,144.9758155022015,144.9758155022015,0.0,0.0,0.0,4185.206607588218,Consumer 1
2025-07-06,4188.1886127304315,3534.8244649610015,5257.918520095055,4188.1886127304315,4188.1886127304315,252.38289119344202,252.38289119344202,252.38289119344202,120.61567748833579,120.61567748833579,120.61567748833579,131.76721370510623,131.76721370510623,131.76721370510623,0.0,0.0,0.0,4440.571503923874,Consumer 1
2025-07-07,4191.9796644196,3617.8249916272093,5213.991242264948,4191.9796644196,4191.9796644196,214.0481008114366,214.0481008114366,214.0481008114366,112.17178477750996,112.17178477750996,112.17178477750996,101.87631603392666,101.87631603392666,101.87631603392666,0.0,0.0,0.0,4406.027765231037,Consumer 1
2025-07-08,4195.770716108769,3491.5275725810056,5131.5730596343265,4195.770716108769,4195.770716108769,101.43105544800994,101.43105544800994,101.43105544800994,46.493770001490944,46.493770001490944,46.493770001490944,54.93728544651899,54.93728544651899,54.93728544651899,0.0,0.0,0.0,4297.201771556779,Consumer 1
2025-07-09,4199.561767797938,3248.8340959669113,4963.797345823833,4199.561767797938,4199.561767797938,-106.97302016931364,-106.97302016931364,-106.97302016931364,-98.23493214683936,-98.23493214683936,-98.23493214683936,-8.738088022474285,-8.738088022474285,-8.738088022474285,0.0,0.0,0.0,4092.5887476286243,Consumer 1
2025-07-10,4203.3528184875395,3481.5313697095944,5084.6441882646595,4203.3528184875395,4203.3528184875395,44.076038625281996,44.076038625281996,44.076038625281996,132.24839782588137,132.24839782588137,132.24839782588137,-88.17235920059937,-88.17235920059937,-88.17235920059937,0.0,0.0,0.0,4247.428857112822,Consumer 1
2025-07-11,4207.14386917714,2990.73088227218,4702.7136113905435,4207.14386917714,4207.14386917714,-350.88676426846786,-350.88676426846786,-350.88676426846786,-169.12793007076286,-169.12793007076286,-169.12793007076286,-181.75883419770503,-181.75883419770503,-181.75883419770503,0.0,0.0,0.0,3856.2571049086723,Consumer 1
2025-07-12,4210.9349198667405,2919.8235863846926,4667.613433127643,4210.9349198667405,4210.9349198667405,-431.4875605883564,-431.4875605883564,-431.4875605883564,-144.16676787434102,-144.16676787434102,-144.16676787434102,-287.3207927140154,-287.3207927140154,-287.3207927140154,0.0,0.0,0.0,3779.4473592783843,Consumer 1
2025-07-13,4214.725970556342,3088.331324982642,4734.541255879213,4214.725970556342,4214.725970556342,-281.5754652601963,-281.5754652601963,-281.5754652601963,120.61567748704607,120.61567748704607,120.61567748704607,-402.1911427472424,-402.1911427472424,-402.1911427472424,0.0,0.0,0.0,3933.1505052961456,Consumer 1
2025-07-14,4218.51702116174,2939.69805743717,4648.069883183094,4218.51702116174,4218.51702116174,-411.137663632051,-411.137663632051,-411.137663632051,112.17178477730158,112.17178477730158,112.17178477730158,-523.3094484093525,-523.3094484093525,-523.3094484093525,0.0,0.0,0.0,3807.3793575296886,Consumer 1
